"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Loup Atlantique,Anarhichas lupus,Poisson de mer,Préoccupante,2/27/2008,11/1/2012,8/28/2013,Accroître l'effectif et la répartition dans les eaux de l'Est canadien et assurer la viabilité à long terme de l'espèce.,"L'effectif et la zone d'occupation de l'espèce sont à la hausse depuis le milieu des années 1990. Ces augmentations récentes sont encourageantes, mais l'espèce demeure peu abondante par rapport aux niveaux historiques.",La population montre des signes de rétablissement.,Montre des progrès
Perce-tige d'Aweme,Papaipema aweme,Insecte,En voie de disparition,2/17/2017,11/1/2020,,"Ontario : combler les lacunes dans les connaissances et maintenir la végétation existante aux sites de collecte à l'aide de mesures générales jusqu'à ce que de meilleures infornations permettent que des actions plus spécifiques soient entreprises, telles que la protection de l'habitat et la réduction des menaces. Canada : essayer de combler les lacunes dans les connaissances et assurer la persistence des populations dont l'existence est confirmée au Canada.",L'aire de répartition au Canada s'étend du sud de l'Ontario vers l'ouest au Manitoba et en Saskatchewan. Il y a 13 sous-populations (12 existantes et 1 présumée disparue).,Il n'y a pas suffisament d'information disponible pour déterminer les tendances des populations et l'étendue de la répartition.,Données insuffisantes pour déterminer les tendances
Carex des sables,Carex sabulosa,"Plante vasculaire, herbe",Préoccupante,5/8/2012,4/1/2016,4/1/2016,Maintenir au moins 11 des populations connues au Yukon. Empêcher une réduction de la zone d'occurrence.,"Les populations de tous les systèmes dunaires, sauf de celui de Carcross, sont probablement demeurées assez stables ou ont diminué légèrement au cours des dernières années. Le déclin est probablement plus marqué dans les dunes de Carcross. On a observé un déclin continu de la zone d'occurrence et du nombre de localités.","Le nombre d’individus matures, l'étendue d’occurrence et le nombre d'emplacements ont diminués. ",Ne montre aucun progrès
Entosthodon fasciculé,Entosthodon fascicularis,Mousse,Préoccupante,8/11/2011,5/1/2015,5/1/2015,Maintenir les populations connues en Colombie-Britannique.,On ne connaît pas les tendances de la population. ,Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Fondule barré (Population de Terre-Neuve),Fundulus diaphanus,"Poisson, eau douce",Préoccupante,5/25/2011,5/1/2014,9/2/2022,Maintenir la population et la répartition actuelles.,"On ne dispose d'aucune donnée sur les tendances de la population. Les seules données disponibles sur l'abondance proviennent d'une seule estimation de la population, pour le site du bassin hydrographique de la baie Indian, qui est de 12 529 à 40 201 individus. Les populations du Loch Leven et de l'étang Freshwater ont été décrites comme abondantes. Même si les données sont limitées, rien n'indique une baisse du nombre de populations ou de l'effectif des populations.",La population semble stable. Rien n'indique une baisse du nombre de populations ou de l'effectif des populations.,Montre des progrès
Pigeon à queue barrée,Patagioenas fasciata,Oiseau,Préoccupante,12/23/2019,4/1/2021,,L'objectif de gestion est de maintenir la population canadienne aux niveaux actuels de taille et de répartition.,"Le nombre d'individus matures est estimé être entre 43 000 et 300 000 dans l'ouest de la Colombie-Britannique. Le Relevé des oiseaux nicheurs a documenté d'importants déclins à long terme, avec les dernières trois générations ayant subies un déclin d'environ 11,5 %. Le Recensement des oiseaux de Noël sur le continent montre une tendance relativement stable à long terme et une augmentation dans la dernière décennie. Il notait aussi un déclin d'environ 80 % sur trois générations au Canada mais ceci pourrait réfléter un déclin de population ou un déplacement vers le sud dans les aires d'hivernage. Des relevés sur des sites miniers montrent un déclin allant jusqu'à 43,5 % sur trois générations mais la petite taille des échantillons et l'abandon probable du site signifient que cela doit être considéré comme un maximum. Dans l'ensemble, les données indiquent un déclin de population continu du pigeon à queue barrée au Canada.",Les données des divers recencements indiquent un déclin de population continu du pigeon à queue barrée au Canada.,Ne montre aucun progrès
Physe des fontaines de Banff,Physella johnsoni,Mollusc,En voie de disparition,2/14/2007,4/1/2018,12/21/2022,"Restaurer les populations et l'habitat du mollusque de façon à les rendre autosuffisants dans son aire de répartition historique, aux endroits et aux moments où cela est possible.
Le programme de rétablissement a été modifié en novembre 2010. Aucune modification n'a été apportée aux objectifs de rétablissement fixés en 2007.",Les populations ont été rétablies dans tous les sites viables de l’aire de répartition historique de l’espèce (sources Kidney et Upper Middle). Les populations rétablies et les populations d’origine de la physe des fontaines de Banff sont autosuffisantes. ,"Les données du programme de suivi indiquent que les populations réintroduites et d’origine sont autosuffisantes, tout en présentant une variation caractéristique d’augmentation et de diminution de la population au cours d’une même année et d’une année à l’autre. De 2018 à 2022, la tendance de la population a été positive pour la plupart des sources, à l’exception des sources Lower Middle et Kidney. L’espèce persiste dans les huit sites viables, y compris les deux sites de réintroduction.",Montre des progrès
Pèlerin (Population du Pacifique),Cetorhinus maximus,Poisson de mer,En voie de disparition,7/26/2011,4/1/2018,9/13/2018,D’observer une croissance positive et de promouvoir la viabilité à long terme d’une population se reproduisant naturellement.,"Les plus anciens dossiers scientifiques et historiques concernant le pèlerin sont limités, mais décrivent tous la population de pèlerins du Pacifique comme étant abondante et largement répartie, avec une population historique minimale de 750 individus au large des côtes de la Colombie-Britannique. À l’heure actuelle, le pèlerin n’est pas observé fréquemment dans les eaux canadiennes du Pacifique. Il y a eu 36 observations confirmées ou fiables de pèlerins déclarées de 1996 à 2016.",Les tendances des populations ne sont pas connues.,Données insuffisantes pour déterminer les tendances
Triphysaire versicolore,Triphysaria versicolor,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,11/1/2011,11/1/2011,Maintenir ou améliorer les 7 populations existantes en augmentant les plus petites populations. Établir une population expérimentale avec une taille de population moyenne annuelle d'au moins 300 individus en fleurs.,"L'estimation du nombre de plants est entre 4000 et plus de 100 000 spécimens, ce qui indique à quel point il est difficile d'estimer les tailles des populations de cette espèce. Le nombre de plants varie d'une année à l'autre et il est impossible de déterminer les tendances.","En l'absence de dénombrements fiables et compte tenu des fluctuations considérables relatives au nombre d'individus matures, les tendances des populations actuelles ne peuvent pas être déterminées. ",Données insuffisantes pour déterminer les tendances
Sanicle patte-d'ours,Sanicula arctopoides,"Plante vasculaire, herbe",Menacée,8/11/2006,11/1/2015,11/1/2015,Maintenir ou accroître les effectifs actuels des 8 populations ou sous-populations existantes. Réimplanter au moins 2 populations disparues ou établir au moins 2 nouvelles populations.,"Lorsqu'une évaluation en 2015, la population a été estimée à environ 2 900 individus matures dans 9 sous-populations existantes. Seulement 1 sous-population est grande. Les données disponibles sur l’habitat donnent à penser que la population a probablement subi un déclin. La disparition de la sous-population de la pointe Cattle a été observée depuis 2001.",Il y a probablement eu une diminution de la taille de la population totale. Une sous-population est disparue.,Ne montre aucun progrès
Béluga (Population de l'estuaire du Saint-Laurent),Delphinapterus leucas,Mammifère,En voie de disparition,3/27/2012,11/1/2014,8/23/2022,"Augmenter l'effectif de la population à 7070 individus, soit 70 % de l'effectif d'origine. De plus, un objectif de population intermédiaire de 1 000 individus matures a été fixé.","Depuis le début des années 2000, la population a décliné lentement. En 2012, la population a été estimée à 889 individus. Depuis, de nouvelles données sur la santé, la démographie de la population ainsi que sur les habitats importants selon les saisons ont été acquises. De plus, des facteurs de correction des estimations des relevés photographiques et aériens ont été révisés. L’actualisation de ces informations a permis d’améliorer l’exactitude de l’abondance de la population de béluga de l’ESL qui a été estimée à 1 850 individus (intervalle de confiance à 95 % : 1 500 à 2 200) en 2022 (MPO 2023). ","Jusqu’en 2007, les trajectoires estimées entre les deux modèles de population sont cohérentes et indiquent un déclin. Cependant, elles divergent par la suite. Le nouveau modèle montre une tendance à la hausse plutôt qu’à la baisse ensuite, possiblement en lien avec la diminution de l’incidence des cancers. La population semble s’être stabilisée entre 2018 et 2022, probablement en raison de la faible survie des veaux et des femelles gestantes depuis plus d’une décennie, ce qui a vraisemblablement plombé la croissance de la population (MPO 2023). ",Montre des progrès
Hydropore de Bertha,Sanfilippodytes bertae,Insecte,En voie de disparition,2/17/2017,12/1/2022,,Maintenir l’espèce aux deux occurrences existantes (si elles devaient être confirmées) et à toute autre occurrence qui pourrait être découverte.,Aucune donnée additionnelle n’a été recueillie depuis la plus récente évaluation. L’espèce est associée à deux sites existants et deux sites historiques.,"Les données sont insuffisantes pour déduire, projeter ou supposer de manière fiable les tendances de la population.",Données insuffisantes pour déterminer les tendances
Grive de Bicknell,Catharus bicknelli,Oiseau,Menacée,7/30/2020,12/1/2022,,"2020 à 2030 : ralentir le déclin de la population tout en s’assurant que ses effectifs ne perdent pas plus de 10 % au cours de cette période, et éviter toute perte de la zone d’occurrence4 dans l’ensemble de son aire de répartition au Canada;
Après 2030 : assurer une tendance positive de la population sur dix ans ainsi qu’une tendance positive de la superficie de la zone d’occupation biologique de l’espèce, dans l’ensemble de son aire de répartition au Canada.",La population canadienne est estimée entre 21 300 et 91 000 individus matures. Les estimations des tendances indiquent qu’il y a un déclin continu du nombre d’individus matures. Le déclin des populations est aussi prévu au Québec et en Nouvelle-Écosse. Les observations sont insuffisantes au Nouveau-Brunswick pour que les tendances puissent être déterminées.,"Dans l’ensemble, la population continue de diminuer et on prévoit un déclin de 34,2 % sur 10 ans.",Ne montre aucun progrès
Putois d'Amérique,Mustela nigripes,Mammifère,Disparue du pays,6/19/2009,11/1/2021,3/7/2023,Établir une population sauvage de putois d’Amérique dont la probabilité de survie sur 20 ans atteindra au moins 80 %.,"L’espèce a été réintroduite dans le parc national du Canada des Prairies en 2009, et d’autres individus ont été mis en liberté entre 2010 et 2012. Bien que le programme de réintroduction ait été un succès sur plusieurs plans, il a été suspendu en 2013 en raison d’une baisse de la population de chiens de prairie dont les causes demeurent inconnues. Le suivi intensif effectué dans le parc national des Prairies démontre clairement que le putois d’Amérique n’existe plus à l’état sauvage au Canada.","Il y a eu de nombreuses tentatives de réintroduction au fil des ans, mais il n’a jamais été possible d’établir une population au Canada.",Ne montre aucun progrès
Fondule rayé,Fundulus notatus,"Poisson, eau douce",Préoccupante,10/19/2009,5/1/2012,4/26/2022,Maintenir ou accroître les populations existantes et améliorer la qualité et la quantité de leur habitat.,Il est difficile d’estimer la répartition et la taille de la population de façon fiable en l’absence de données détaillées sur l’abondance.,Des activités de suivi et d’évaluation supplémentaires devraient être menées pour affiner les aires de répartition et déterminer l’abondance de ces espèces.,Données insuffisantes pour déterminer les tendances
Chien de prairie,Cynomys ludovicianus,Mammifère,Menacée,6/19/2009,11/1/2011,3/14/2018,Veiller à ce que la population conserve une probabilité de persistance d'au moins 90 % pour les 100 prochaines années.,"Un programme de suivi a été mis en place pour mesurer la densité des population, l'aire d'occupation, ainsi que l'occurrence de la peste sylvatique. L'aire occupée par le chien de prairies a fluctuée mais toutes les colonies demeurent actives. Il n'y a pas de données sur les tendances des populations.",Les densités de population de chiens de prairie sont en voie d'atteindre les objectifs du document de rétablissement à long terme grâce à une gestion et une surveillance actives.,Montre des progrès
Rainette grillon de Blanchard,Acris blanchardi,Amphibien,En voie de disparition,2/16/2011,5/1/2011,5/1/2011,Déterminer si la rainette grillon de Blanchard est encore présente dans son aire de répartition canadienne et s'il existe toujours un habitat convenable à sa réintroduction.,"L'espèce est connue au Canada d'un seul endroit, à savoir la réserve naturelle provinciale de la Pointe Fish sur l'île Pelee. Au cours des 2 dernières décennies, des observations et des auditions ont été signalées sporadiquement à la pointe Fish, la mention la plus récente datant de 1997. Malheureusement, ces mentions plus récentes ne sont pas étayées par des photographies ou des enregistrements sonores d'appels. Le manque de confirmation, associé au fait que le territoire de la Pointe Fish est relativement petit et que la durée de vie des rainettes est courte, a amené un certain nombre d'auteurs à suggérer qu’elle a disparu du Canada. ",Aucune nouvelle observation de cette espèce au Canada n'a été signalée.,Objectifs opérationnels
Tortue mouchetée (Population de la Nouvelle-Écosse),Emydoidea blandingii,Reptile,En voie de disparition,2/8/2012,11/1/2016,6/8/2022,Assurer la présence d'une population autosuffisante en Nouvelle-Écosse. Maintenir ou améliorer le recrutement et le taux de survie des adultes.,"Compte tenu du cycle vital « lent » de cette espèce longévive, la population ne s’est pas encore rétablie de la mortalité qui l’a touchée il y a des décennies. Toutefois, les mesures de rétablissement ont permis d’augmenter le nombre de jeunes tortues dans la population principale. De 2017 à 2022, le taux de survie des adultes est passé de 98,56 % à 99,8 %, et 8 femelles en état de nidifier ont été recrutées au parc national et lieu historique national du Canada Kejimkujik.","Le nombre d’adultes continue de diminuer, mais les mesures de rétablissement ont permis d’augmenter le nombre de jeunes tortues. Dans le parc national et lieu historique national du Canada Kejimkujik, les taux de survie et de recrutement des adultes ont augmenté.",Preuves mitigées
Rorqual bleu (Population de l'Atlantique),Balaenoptera musculus,Mammifère,En voie de disparition,2/2/2010,5/1/2012,4/18/2016,Atteindre une taille de population de 1000 individus matures.,"Un total de 16 rorquals bleus a été observé dans le cadre d'une étude de Pêches et Océans Canada en 2007. On a pu procéder à trop peu d'observations pour en estimer l'abondance, mais le faible nombre d'observations correspond aux estimations précédentes, qui suggèrent un nombre d'individus matures moins que 250. Aucune tendance évidente n'a été trouvée. Au total, 402 rorquals bleus ont été identifiés dans le golfe du Saint-Laurent entre 1980 et 2008. On ne sait pas s'ils étaient des individus mûrs ou non. Une augmentation annuelle de 11 % des observations a été documentée dans le Gully au cours de la période de 23 ans.","La population devrait atteindre moins que 250 individus matures. Cependant, d'autres renseignements sur les changements de la taille de la population sont nécessaires.",Données insuffisantes pour déterminer les tendances
Rorqual bleu (Population du Pacifique),Balaenoptera musculus,Mammifère,En voie de disparition,7/14/2006,5/1/2012,1/19/2022,"Maintenir ou accroître les proportions relatives de rorquals bleus dans les eaux canadiennes du Pacifique, comparativement à l’ensemble de la population, jusqu’en 2016. Atteindre une population de rorquals bleus viable à long terme dans les eaux canadiennes du Pacifique.",Les données sont insuffisantes pour déterminer la proportion relative de rorquals bleus dans les eaux canadiennes du Pacifique par rapport à l’ensemble de la population du Pacifique.,Le nombre de rorquals bleus fréquentant les eaux canadiennes du Pacifique n’a pas été estimé. La proportion relative de rorquals bleus demeure inconnue en raison du nombre limité d’observations recueillies depuis la fin de la chasse commerciale à la baleine.,Données insuffisantes pour déterminer les tendances
Requin griset,Hexanchus griseus,Poisson de mer,Préoccupante,4/23/2012,4/1/2007,2/21/2022,Maintenir des populations viables et prévenir une baisse jusqu’à des niveaux où elles seraient menacées ou en voie de disparition.,Les tendances actuelles relatives à l’abondance et à la taille de la population sont inconnues. Il sera nécessaire de recueillir des données supplémentaires pour créer un indice d’abondance relative reflétant l’abondance réelle de l’espèce.,"D’autres recherches devront être menées pour mieux comprendre la structure de la population, l’habitat et les besoins alimentaires du requin griset afin de veiller à la conservation de l’espèce.",Données insuffisantes pour déterminer les tendances
Isoète de Bolander,Isoetes bolanderi,"Plante vasculaire, herbe",Menacée,2/7/2011,4/1/2006,6/21/2023,"Maintenir les trois populations autosuffisantes (lac Summit, étangs supérieur et inférieur du ruisseau Boundary) et, si possible, rétablir la population disparue du Canada (étang Carthew).","En 2019, toutes les populations étaient présentes et stables au lac Summit et aux étangs supérieur et inférieur du ruisseau Boundary. Les données historiques de la population de Carthew, probablement disparue, n’ont pas été confirmées. Le rétablissement de celle-ci n’est donc pas présentement réalisable ou approprié.",Les trois populations existantes ont été maintenues.,Montre des progrès
Érioderme boréal (Population de l'Atlantique),Erioderma pedicellatum,Lichen,En voie de disparition,6/20/2007,11/1/2014,11/1/2014,Maintenir les thalles et leur habitat dans les sites connus de l'espèce.,Onze des 41 occurrences trouvées entre 2003 et 2011 sont maintenant disparues. On prévoit que ces déclins continueront dans le futur.,Le nombre d'occurrences et le nombre d'individus sont en déclin. L'habitat disponible s'est réduit entre 1988 et 2005.,Ne montre aucun progrès
Érioderme boréal (Population boréale),Erioderma pedicellatum,Lichen,Préoccupante,9/8/2010,11/1/2014,12/23/2022,"Maintenir et accroître, au besoin, les populations autosuffisantes à l'intérieur de l'aire de répartition géographique actuelle.","Il y a une augmentation dans certaines régions et un déclin dans d'autres. Il est compliqué de porter des conclusions au sujet des tendances à cause de la découverte de plusieurs thalles dans des nouvelles régions, résultat d'un effort de recherche accru.",Il n'est pas évident de conclure que l'accroissement dans une région compense les pertes dans d'autres régions.,Preuves mitigées
Baleine boréale,Balaena mysticetus,Mammifère,Préoccupante,2/18/2014,4/1/2009,1/31/2022,Maintenir une population saine de baleines boréales dans la mer de Beaufort canadienne en protégeant l’espèce et son habitat.,"Dans l’ensemble, il semble que la population de baleines boréales des mers de Béring, des Tchouktches et de Beaufort continue d’augmenter.","Des renseignements plus récents, comme la compréhension des répercussions positives des changements climatiques à court terme et l’estimation d’abondance dans les glaces de 2011, soutiennent la notion globale voulant que l’état de la population de baleines boréales des mers de Béring, des Tchouktches et de Beaufort n’est pas aussi mauvais que ne l’indiquaient les renseignements disponibles au moment des évaluations de 2005 et de 2009 du COSEPAC. La diminution de l’activité humaine (principalement l’exploitation pétrolière et gazière) dans la partie canadienne de la mer de Beaufort est un autre facteur qui a permis de réaliser des progrès considérables au chapitre de la gestion de l’espèce.",Montre des progrès
Méné d'herbe,Notropis bifrenatus,"Poisson, eau douce",Préoccupante,6/20/2011,5/1/2013,4/12/2017,Maintenir et accroître les populations et leurs habitats pour veiller à ce que des populations viables soient présentes dans l'ensemble de l'aire de répartition actuelle et historique de l'espèce au Canada.,"On ne dispose d'aucune estimation des populations au Canada. Les tendances sont difficiles à établir, en partie parce que l'espèce est difficile à identifier. L'espèce a été observée dans de nombreuses nouvelles localités, probablement plus en raison d'une augmentation du nombre d'identifications de l'espèce plutôt que de l'accroissement de son aire de répartition. ",On ne dispose d'aucune estimation des populations au Canada. ,Données insuffisantes pour déterminer les tendances
Alasmidonte renflée,Alasmidonta varicosa,Mollusc,Préoccupante,3/8/2018,12/1/2022,,"Maintenir une population viable et autonome d'alamidontes renflées au Canada, aux emplacements connus et nouvellement découverts (y compris les sites historiques s'ils se rétablissent naturellement). ","Bien qu'il semble y avoir des changements dans le nombre d'individus dans des localités particulières, le nombre total d'individus matures de l'espèce depuis le dernier rapport est inconnu. Une incertitude scientifique entoure également le nombre minmal d'individus matures nécessaires pour constituer une population ou sous-population d'alamidontes renflées viable. ","Il pourrait y avoir changements à long terme dans la qualité et l'étendue de l'habitat, mais en raison du manque d'échantillonnage normalisé effectué de façon répétée, il n'est pas possible d'estimer une tendance de la population ni de déterminer s'il y a des flucutations extrêmes du nombre d'individus matures. Les données sont insuffisantes pour déterminer les tendances. ",Données insuffisantes pour déterminer les tendances
Épilobe de Torrey,Epilobium torreyi,"Plante vasculaire, herbe",En voie de disparition,6/21/2013,11/1/2018,11/1/2018,"Maintenir l’habitat dans le pré Craigflower, jusqu’à ce que la possibilité d’y restaurer la population de l’espèce ait été évaluée.
Accroître la population existante ou en établir de nouvelles en vue d’augmenter son abondance et d’étendre son aire de répartition, si cela est jugé faisable et approprié sur le plan biologique.",Aucun individu n'a été trouvé sur l'un ou l'autre des deux sites depuis 1993. Les graines viables potentielles sont dans le sol et pourraient germer lorsque les conditions le permettent.,Aucun individu n'a été trouvé sur l'un ou l'autre des deux sites depuis 1993.,Objectifs opérationnels
Buchloé faux-dactyle,Bouteloua dactyloides,"Plante vasculaire, herbe",Préoccupante,11/20/2007,11/1/2011,11/1/2011,Maintenir la persistance de toutes les populations naturellement présentes au Canada.,"La taille des clones de Buchloé faux-dactyle varie en fonction de la quantité d'eau et d'éléments nutritifs disponibles : ils augmentent lorsque ces quantités sont élevées et diminuent lorsqu'elles sont faibles. On sait aujourd'hui que l'effectif de la population est considérablement plus élevé par rapport aux estimations de 1998. Ce changement est vraisemblablement attribuable à une augmentation des inventaires. Cependant, on ignore si l'effectif de l'espèce au Canada a augmenté ou diminué.",On ne connaît pas les tendances des populations canadiennes.,Données insuffisantes pour déterminer les tendances
Chevêche des terriers,Athene cunicularia,Oiseau,En voie de disparition,5/25/2012,4/1/2017,4/1/2017,Renverser le déclin de la population. Maintenir une population autonome et bien répartie d’au moins 3 000 couples reproducteurs. Rétablir des populations reproductrices à l’état sauvage en Colombie-Britannique et Manitoba.,Les populations ont diminué d’au moins 795 individus en 2004 à 270 en 2015. Un petit nombre d’individus provenant des programmes de reproduction en captivité et de remise en liberté ont été vus en Colombie-Britannique et au Manitoba.,Les populations sont en déclin mais les chevêches étaient réintroduites dans les parties de l’aire de répartition historique ,Preuves mitigées
